SKU,EAN,Saison,Couleur - Code,Couleur - Nom,Taille du produit,Style - Description FR,Catégorie - Code,Catégorie,Sous-catégorie - Code,Sous-catégorie,Sous-classe - Code,Sous-classe
SKU97DF00EA,EAN97DF00EA,22F,60120,RHODODENDRON,38D,Style_1097,Catégorie_003,Catégorie_003,Sous-catégorie_016,Sous-catégorie_016,Sous-classe_051,Sous-classe_051
SKU6E2EED05,EAN6E2EED05,22F,00001,Black Beauty,34D,Style_1098,Catégorie_003,Catégorie_003,Sous-catégorie_025,Sous-catégorie_025,Sous-classe_051,Sous-classe_051
SKUE2E5F589,EANE2E5F589,22F,60120,RHODODENDRON,36C,Style_1099,Catégorie_003,Catégorie_003,Sous-catégorie_025,Sous-catégorie_025,Sous-classe_051,Sous-classe_051
SKUB03841C2,EANB03841C2,22F,P40142,BLUE FLORAL,S,Style_1100,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU18500E7D,EAN18500E7D,22F,P40142,BLUE FLORAL,M,Style_1101,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKUA02F3361,EANA02F3361,22F,P40142,BLUE FLORAL,L,Style_1102,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU49A7CE0F,EAN49A7CE0F,22F,00001,Black Beauty,M,Style_1103,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU82E54E0A,EAN82E54E0A,22F,60120,RHODODENDRON,M,Style_1104,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU0784AFE2,EAN0784AFE2,22F,60120,RHODODENDRON,XL,Style_1105,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_026,Sous-classe_026
SKU2B759C40,EAN2B759C40,22F,00001,Black Beauty,XL,Style_1106,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_020,Sous-classe_020
SKU57339C2D,EAN57339C2D,22F,00001,Black Beauty,XXL,Style_1107,Catégorie_006,Catégorie_006,Sous-catégorie_017,Sous-catégorie_017,Sous-classe_020,Sous-classe_020
SKUF6CB6DD0,EANF6CB6DD0,22F,60017,PINK ICING,O/S,Style_1108,Catégorie_007,Catégorie_007,Sous-catégorie_028,Sous-catégorie_028,Sous-classe_024,Sous-classe_024
